"id","username","email","user_type","created_at","updated_at","average_order_value"
f47ac10b-58cc-4372-a567-0e02b2c3d479,user_1,john.doe@example.com,{new_user},2025-05-05 02:42:28.782,2025-05-05 02:42:28.782,583
a1b2c3d4-e5f6-7890-1234-567890abcdef,user_2,jane.smith@sample.net,{new_user},2025-05-05 02:42:28.788,2025-05-05 02:42:28.788,876
b2c3d4e5-f6a7-8901-2345-67890abcdef0,user_3,admin@corp.com,{corporate_account},2025-05-05 02:42:28.789,2025-05-05 02:42:28.789,345
c3d4e5f6-a7b8-9012-3456-7890abcdef01,user_4,bob.e@editorial.org,{new_user},2025-05-05 02:42:28.790,2025-05-05 02:42:28.790,921
d4e5f6a7-b8c9-0123-4567-890abcdef012,user_5,alice.v@viewers.info,{new_user},2025-05-05 02:42:28.790,2025-05-05 02:42:28.790,234
e5f6a7b8-c9d0-1234-5678-90abcdef0123,user_6,beta1@testing.dev,{new_user},2025-05-05 02:42:28.790,2025-05-05 02:42:28.790,788
f6a7b8c9-d0e1-2345-6789-0abcdef01234,user_8,charlie.f@freemail.com,{new_user},2025-05-05 02:42:28.791,2025-05-05 02:42:28.791,467
a7b8c9d0-e1f2-3456-7890-1bcdef012345,user_9,guest_d@temp.com,{new_user},2025-05-05 02:42:28.791,2025-05-05 02:42:28.791,602
c9d0e1f2-a3b4-5678-9012-3def01234567,user_10,fra_nk.n@welcome.com,"{new_user,premium}",2025-05-05 02:42:28.792,2025-05-05 02:42:28.792,832
d0e1f2a3-b4c5-6789-0123-4ef012345678,user_11,grace.e@content.com,{new_user},2025-05-05 02:42:28.793,2025-05-05 02:42:28.793,299
e1f2a3b4-c5d6-7890-1234-5f0123456789,user_12,henry.v@watch.tv,{new_user},2025-05-05 02:42:28.794,2025-05-05 02:42:28.794,555
f2a3b4c5-d6e7-8901-2345-60123456789a,user_13,isla.b@earlyaccess.com,{new_user},2025-05-05 02:42:28.796,2025-05-05 02:42:28.796,701
a3b4c5d6-e7f8-9012-3456-7123456789ab,user_14,jack.f@basic.net,{new_user},2025-05-05 02:42:28.796,2025-05-05 02:42:28.796,388
b4c5d6e7-f8a9-0123-4567-823456789abc,user_15,karen.p@exclusive.com,"{new_user,premium}",2025-05-05 02:42:28.797,2025-05-05 02:42:28.797,912
c5d6e7f8-a9b0-1234-5678-93456789abcd,user_16,leo.n@starter.com,{new_user},2025-05-05 02:42:28.797,2025-05-05 02:42:28.797,276
d6e7f8a9-b0c1-2345-6789-0456789abcde,user_17,mia.a@system.io,{corporate_account},2025-05-05 02:42:28.797,2025-05-05 02:42:28.797,643
e7f8a9b0-c1d2-3456-7890-156789abcdef,user_18,noah.e@publish.com,{new_user},2025-05-05 02:42:28.797,2025-05-05 02:42:28.797,499
f8a9b0c1-d2e3-4567-8901-26789abcdef0,user_19,olivia.v@stream.com,{new_user},2025-05-05 02:42:28.798,2025-05-05 02:42:28.798,723
a9b0c1d2-e3f4-5678-9012-3789abcdef01,user_20,pete.b@testflight.com,{new_user},2025-05-05 02:42:28.798,2025-05-05 02:42:28.798,333
b0c1d2e3-f4a5-6789-0123-489abcdef012,user_21,quinn.f@limited.com,{premium},2025-05-05 02:42:28.798,2025-05-05 02:42:28.798,808
c1d2e3f4-a5b6-7890-1234-59abcdef0123,user_22,ryan.g@visitor.com,{premium},2025-05-05 02:42:28.798,2025-05-05 02:42:28.798,254
d2e3f4a5-b6c7-8901-2345-6abcdef01234,user_23,sophia.p@poweruser.com,"{premium,vip}",2025-05-05 02:42:28.798,2025-05-05 02:42:28.798,977
e3f4a5b6-c7d8-9012-3456-7bcdef012345,user_24,tom.n@signup.com,{premium},2025-05-05 02:42:28.799,2025-05-05 02:42:28.799,489
f4a5b6c7-d8e9-0123-4567-8cdef0123456,user_25,uma.e@review.com,{premium},2025-05-05 02:42:28.799,2025-05-05 02:42:28.799,612
a5b6c7d8-e9f0-1234-5678-9def01234567,user_26,victor.v@display.com,{premium},2025-05-05 02:42:28.799,2025-05-05 02:42:28.799,765
b6c7d8e9-f0a1-2345-6789-0ef012345678,user_27,wendy.b@insider.com,{premium},2025-05-05 02:42:28.799,2025-05-05 02:42:28.799,301
c7d8e9f0-a1b2-3456-7890-1f0123456789,user_28,xavier.f@standard.com,{premium},2025-05-05 02:42:28.799,2025-05-05 02:42:28.799,888
